--------- beginning of main
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: Voilatile gRPC failure INVALID_ARGUMENT: Application credential header not valid. Please fix the client to pass a valid application credential header. [CONTEXT service_id=6 ]
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: jlsp: INVALID_ARGUMENT: Application credential header not valid. Please fix the client to pass a valid application credential header.
06-22 18:25:52.111  5707  5774 W Settings: Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
06-22 18:25:52.117  5707 15659 W SystemServiceRegistry: No service published for: wifirtt
06-22 18:25:52.941   500  2310 D WifiNl80211Manager: Scan result ready event
06-22 18:25:52.942   500  2310 D WifiNative: Scan result ready event
06-22 18:25:52.963  5707 15659 I FrewleTileCacheManagerV: (REDACTED) Fetched %d AP models from cache
06-22 18:25:52.971  5707  5774 I ActivityScheduler: nextTriggerTime: 13292821, in 60527ms, detectorType: 39, FULL_TYPE alarmWindowMillis: 80000
06-22 18:25:53.881   700   711 I ndroid.systemui: Background concurrent copying GC freed 354148(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 561us,1.176ms total 109.089ms
06-22 18:25:55.685  2632  2632 W ThreadPoolForeg: type=1400 audit(0.0:1742): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:25:57.786   700   711 I ndroid.systemui: Background concurrent copying GC freed 358445(18MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 82us,382us total 114.441ms
06-22 18:26:00.049   700   957 D EGL_emulation: app_time_stats: avg=18136.16ms min=18136.16ms max=18136.16ms count=1
06-22 18:26:00.050  1425  1723 I AiAiEcho: Predicting[0]: 
06-22 18:26:00.051  1425  1723 I AiAiEcho: Ranked targets strategy: SORT, count: 0, ranking metadata: 
06-22 18:26:00.054  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface lockscreen with targets# 0
06-22 18:26:00.054  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface home with targets# 0
06-22 18:26:00.054  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface media_data_manager with targets# 0
06-22 18:26:00.057   700   700 D SsMediaDataProvider: Forwarding Smartspace updates []
06-22 18:26:00.406   700   711 I ndroid.systemui: Background concurrent copying GC freed 375053(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/32MB, paused 15.358ms,422us total 316.374ms
06-22 18:26:01.896   700   957 D EGL_emulation: app_time_stats: avg=1846.56ms min=1846.56ms max=1846.56ms count=1
06-22 18:26:02.175   700   711 I ndroid.systemui: Background concurrent copying GC freed 355542(18MB) AllocSpace objects, 1(20KB) LOS objects, 49% free, 17MB/34MB, paused 109us,38us total 303.107ms
06-22 18:26:04.821  1527  1527 W ThreadPoolForeg: type=1400 audit(0.0:1743): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:26:07.057   700   711 I ndroid.systemui: Background concurrent copying GC freed 371397(19MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 79us,62us total 118.448ms
06-22 18:26:08.683   700   711 I ndroid.systemui: Background concurrent copying GC freed 362947(18MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 125us,54us total 112.144ms
06-22 18:26:10.489  5707  5707 W ThreadPoolForeg: type=1400 audit(0.0:1744): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:26:11.090   700   711 I ndroid.systemui: Background concurrent copying GC freed 359790(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 89us,39us total 101.616ms
06-22 18:26:13.448   700   711 I ndroid.systemui: Background concurrent copying GC freed 352573(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 81us,58us total 108.305ms
06-22 18:26:15.095   700   711 I ndroid.systemui: Background concurrent copying GC freed 361195(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 17MB/34MB, paused 91us,466us total 124.559ms
06-22 18:26:15.705   500   509 I system_server: Background young concurrent copying GC freed 299409(23MB) AllocSpace objects, 6(184KB) LOS objects, 43% free, 28MB/51MB, paused 15.418ms,170us total 205.281ms
06-22 18:26:20.697   700   711 I ndroid.systemui: Background concurrent copying GC freed 375340(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 85us,51us total 125.384ms
06-22 18:26:23.831   700   711 I ndroid.systemui: Background concurrent copying GC freed 355699(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 80us,59us total 107.925ms
06-22 18:26:25.697  2632  2632 W ThreadPoolForeg: type=1400 audit(0.0:1745): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:26:29.205   700   711 I ndroid.systemui: Background concurrent copying GC freed 358398(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 84us,486us total 117.932ms
06-22 18:26:30.053  1408  2258 I PhenotypeProcessReaper: Memory state is: 200
06-22 18:26:30.829   700   711 I ndroid.systemui: Background concurrent copying GC freed 362403(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 234us,45us total 105.862ms
06-22 18:26:34.841  1527  1527 W ThreadPoolForeg: type=1400 audit(0.0:1746): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:26:38.314   700   711 I ndroid.systemui: Background concurrent copying GC freed 353199(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 988us,64us total 109.078ms
06-22 18:26:40.497  5707  5707 W ThreadPoolForeg: type=1400 audit(0.0:1747): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:26:41.465   700   711 I ndroid.systemui: Background concurrent copying GC freed 362525(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 83us,58us total 111.840ms
06-22 18:26:45.327   700   711 I ndroid.systemui: Background concurrent copying GC freed 351961(18MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 17MB/34MB, paused 78us,63us total 120.136ms
06-22 18:26:52.508  5707  5774 W Settings: Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
06-22 18:26:52.512  5707 15596 W SystemServiceRegistry: No service published for: wifirtt
06-22 18:26:53.057   500  2311 W AppOps  : Noting op not finished: uid 10120 pkg com.google.android.gms code 113 startTime of in progress event=1782141509230
06-22 18:26:53.066   500  2312 W AppOps  : Noting op not finished: uid 10120 pkg com.google.android.gms code 79 startTime of in progress event=1782141509230
06-22 18:26:53.067   500  2312 W AppOps  : Noting op not finished: uid 10120 pkg com.google.android.gms code 113 startTime of in progress event=1782141509230
06-22 18:26:53.072   500  2312 W AppOps  : Noting op not finished: uid 10120 pkg com.google.android.gms code 113 startTime of in progress event=1782141509230
06-22 18:26:53.083   500  2311 W AppOps  : Noting op not finished: uid 10120 pkg com.google.android.gms code 113 startTime of in progress event=1782141509230
06-22 18:26:53.092  5707  5774 I ActivityScheduler: nextTriggerTime: 13530515, in 238100ms, detectorType: 39, FULL_TYPE alarmWindowMillis: 80000
06-22 18:26:53.320   500  2311 D WifiNl80211Manager: Scan result ready event
06-22 18:26:53.320   500  2311 D WifiNative: Scan result ready event
06-22 18:26:53.328  5707 15596 I FrewleTileCacheManagerV: (REDACTED) Fetched %d AP models from cache
06-22 18:26:53.336  5707  5774 I ActivityScheduler: nextTriggerTime: 13530515, in 237856ms, detectorType: 39, FULL_TYPE alarmWindowMillis: 80000
06-22 18:26:55.701  2632  2632 W ThreadPoolForeg: type=1400 audit(0.0:1748): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:27:00.082  1425  1723 I AiAiEcho: Predicting[0]: 
06-22 18:27:00.089  1425  1723 I AiAiEcho: Ranked targets strategy: SORT, count: 0, ranking metadata: 
06-22 18:27:00.089   700   957 D EGL_emulation: app_time_stats: avg=58193.21ms min=58193.21ms max=58193.21ms count=1
06-22 18:27:00.094  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface lockscreen with targets# 0
06-22 18:27:00.097  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface home with targets# 0
06-22 18:27:00.100  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface media_data_manager with targets# 0
06-22 18:27:00.147   700   700 D SsMediaDataProvider: Forwarding Smartspace updates []
06-22 18:27:00.645   700   711 I ndroid.systemui: Background young concurrent copying GC freed 312861(16MB) AllocSpace objects, 0(0B) LOS objects, 47% free, 17MB/32MB, paused 2.081ms,82us total 263.923ms
06-22 18:27:01.128   500  2311 D WifiNl80211Manager: Scan result ready event
06-22 18:27:01.128   500  2311 D WifiNative: Scan result ready event
06-22 18:27:01.535   700   711 I ndroid.systemui: Background concurrent copying GC freed 354271(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/32MB, paused 116us,46us total 159.726ms
06-22 18:27:04.849  1527  1527 W ThreadPoolForeg: type=1400 audit(0.0:1749): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:27:06.488   700   711 I ndroid.systemui: Background concurrent copying GC freed 342799(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/32MB, paused 80us,3.666ms total 215.821ms
06-22 18:27:10.529  5707  5707 W ThreadPoolForeg: type=1400 audit(0.0:1750): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:27:13.223   700   711 I ndroid.systemui: Background concurrent copying GC freed 348136(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 84us,52us total 116.170ms
06-22 18:27:14.861   700   711 I ndroid.systemui: Background concurrent copying GC freed 362431(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 17MB/34MB, paused 84us,589us total 122.966ms
06-22 18:27:15.756   500   509 I system_server: Background young concurrent copying GC freed 306500(23MB) AllocSpace objects, 5(100KB) LOS objects, 42% free, 29MB/51MB, paused 8.209ms,122us total 273.148ms
06-22 18:27:16.574   700   711 I ndroid.systemui: Background concurrent copying GC freed 377695(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 88us,52us total 120.962ms
06-22 18:27:20.996   500   580 D ActivityManager: freezing 10071 com.google.android.partnersetup
